name,CITY MARKET
_id,45701d7e-f1c9-44bf-9a97-13113284d21c
total,473928
date,1999-08-07
time,21:06
extractiondate,"05/05/1991, 16:55:56"
userobj,"{'name': 'Laetitia Le Gall', 'sex': 'F', 'address': '8, boulevard Céline Lefort\n25883 AntoineBourg', 'email': 'robertguyon@tiscali.fr', 'birthdate': '1996-04-30'}"
prods,"[{'pname': 'Souris en coton', 'pquantity': 1, 'pupri': 3522.0, 'ptotal': 3522.0}, {'pname': 'Auto', 'pquantity': 7, 'pupri': 3985.0, 'ptotal': 27895.0}, {'pname': 'Poulet Générique', 'pquantity': 9, 'pupri': 7764.0, 'ptotal': 69876.0}, {'pname': 'Balle de caoutchouc', 'pquantity': 7, 'pupri': 3773.0, 'ptotal': 26411.0}, {'pname': 'Thon frais', 'pquantity': 6, 'pupri': 8620.0, 'ptotal': 51720.0}, {'pname': 'Saucisses élégantes', 'pquantity': 3, 'pupri': 2952.0, 'ptotal': 8856.0}, {'pname': 'Saucisses', 'pquantity': 8, 'pupri': 176.0, 'ptotal': 1408.0}]"
name,AZIZA
_id,8ecfbc64-3ba1-496e-a0d7-daf316b3e8d5
total,743094
date,1985-03-18
time,09:32
extractiondate,"11/28/2007, 00:36:01"
userobj,"{'name': 'Astrid Hamon du Roux', 'sex': 'F', 'address': '158, avenue Léon Blot\n05476 Meunier', 'email': 'njacquet@live.com', 'birthdate': '1978-03-05'}"
prods,"[{'pname': 'Fromage en bois', 'pquantity': 6, 'pupri': 7055.0, 'ptotal': 42330.0}, {'pname': 'Chapeau en coton', 'pquantity': 4, 'pupri': 1619.0, 'ptotal': 6476.0}, {'pname': 'Chaussures fraîches', 'pquantity': 3, 'pupri': 629.0, 'ptotal': 1887.0}, {'pname': 'Clavier frais', 'pquantity': 5, 'pupri': 951.0, 'ptotal': 4755.0}, {'pname': 'Ordinateur sans marque', 'pquantity': 3, 'pupri': 1926.0, 'ptotal': 5778.0}, {'pname': 'Vélo', 'pquantity': 5, 'pupri': 7463.0, 'ptotal': 37315.0}, {'pname': 'Bacon élégant', 'pquantity': 6, 'pupri': 2065.0, 'ptotal': 12390.0}]"
name,AZIZA
_id,c8670de6-4efb-4515-b16a-def13c819a84
total,657486
date,2014-05-11
time,06:27
extractiondate,"07/20/2004, 03:25:22"
userobj,"{'name': 'Éléonore-Zoé Ribeiro', 'sex': 'F', 'address': '830, boulevard Lucas Gaillard\n29781 Perrot-sur-Lamy', 'email': 'paulettede-sousa@dbmail.com', 'birthdate': '1952-01-26'}"
prods,"[{'pname': 'Pour réparation Métal Poisson', 'pquantity': 2, 'pupri': 8578.0, 'ptotal': 17156.0}, {'pname': ""L'ordinateur"", 'pquantity': 9, 'pupri': 9100.0, 'ptotal': 81900.0}]"
name,AZIZA
_id,a9b6dab6-4b0c-40aa-bf60-8d84a2a752cf
total,652281
date,2009-01-01
time,17:48
extractiondate,"04/16/2017, 07:03:32"
userobj,"{'name': 'Guy Mace-Delorme', 'sex': 'M', 'address': '65, avenue Lefort\n87784 Descamps', 'email': 'anaisturpin@hotmail.fr', 'birthdate': '1998-01-03'}"
prods,"[{'pname': 'Tableau raffiné', 'pquantity': 2, 'pupri': 7844.0, 'ptotal': 15688.0}, {'pname': 'Superbe voiture en métal', 'pquantity': 4, 'pupri': 6964.0, 'ptotal': 27856.0}]"
name,CITY MARKET
_id,a11c0d1d-a47f-4517-a724-ec6b5a16033d
total,519459
date,1979-05-22
time,04:01
extractiondate,"10/16/1993, 05:53:59"
userobj,"{'name': 'Augustin-Laurent Gomez', 'sex': 'M', 'address': '350, rue Pierre\n55960 Fernandes', 'email': 'williamtexier@noos.fr', 'birthdate': '1922-02-18'}"
prods,"[{'pname': 'Ordinateur en coton élégant', 'pquantity': 4, 'pupri': 3188.0, 'ptotal': 12752.0}, {'pname': ""Gants d'acier"", 'pquantity': 8, 'pupri': 598.0, 'ptotal': 4784.0}, {'pname': 'Chaussures pratiques', 'pquantity': 1, 'pupri': 3153.0, 'ptotal': 3153.0}, {'pname': 'Voiture en caoutchouc rustique', 'pquantity': 8, 'pupri': 5541.0, 'ptotal': 44328.0}, {'pname': 'Thon en métal', 'pquantity': 6, 'pupri': 7193.0, 'ptotal': 43158.0}, {'pname': 'Saucisses en bois', 'pquantity': 8, 'pupri': 8511.0, 'ptotal': 68088.0}, {'pname': 'Poisson coton', 'pquantity': 1, 'pupri': 1009.0, 'ptotal': 1009.0}, {'pname': 'Chaise', 'pquantity': 5, 'pupri': 1897.0, 'ptotal': 9485.0}]"
